Proteins	GO terms (biological process)	GO terms (cellular component)	GO terms (molecular function)	"Genes of polypeptide, complex, or RNA"	Pathways of enzyme	UniProt-via-RefSeq	NCBI-Protein	Data-Source	Pfam
UDP-glucose 4-epimerase GalE	galactose metabolic process // carbohydrate metabolic process		isomerase activity // UDP-glucose 4-epimerase activity // catalytic activity	galE	D-galactose degradation I (Leloir pathway) // UDP-&alpha;-D-galactose biosynthesis	WP_011863347.1	WP_011863347.1		PF01370
hypothetical protein				P9301_RS18155		WP_025882542.1	WP_025882542.1		
hypothetical protein				P9301_RS14815		WP_011863153.1	WP_011863153.1		
aldo/keto reductase				P9301_RS09395		WP_011862088.1	WP_011862088.1		PF00248
inorganic diphosphatase	phosphate-containing compound metabolic process	cytoplasm	metal ion binding // hydrolase activity // inorganic diphosphatase activity // magnesium ion binding	P9301_RS11710		WP_011862531.1	WP_011862531.1		PF00719
DNA-directed RNA polymerase subunit omega	"transcription, DNA-templated"		nucleotidyltransferase activity // transferase activity // DNA-directed 5'-3' RNA polymerase activity // DNA binding	rpoZ		WP_011863544.1	WP_011863544.1		PF01192
translation initiation factor IF-3	translational initiation // translation	cytoplasm	translation initiation factor activity	infC		WP_011863735.1	WP_011863735.1		PF05198
TRAM domain-containing protein		integral component of membrane // membrane		P9301_RS16205		WP_011863428.1	WP_011863428.1		PF01938
alpha-E domain-containing protein				P9301_RS14525		WP_011818576.1	WP_011818576.1		PF04168
NAD(P)H-quinone oxidoreductase subunit K	"photosynthesis, light reaction"	thylakoid membrane // membrane // thylakoid	"4 iron, 4 sulfur cluster binding // iron-sulfur cluster binding // quinone binding // metal ion binding // oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor // NADH dehydrogenase (ubiquinone) activity // iron ion binding"	ndhK		WP_011862333.1	WP_011862333.1		PF01058
polyphosphate kinase 1	phosphorylation // polyphosphate biosynthetic process	polyphosphate kinase complex	metal ion binding // transferase activity // kinase activity // polyphosphate kinase activity // ATP binding // nucleotide binding	ppk1		WP_011863792.1	WP_011863792.1		PF13089
peptide chain release factor 1	translational termination // translation	cytoplasm	"translation release factor activity, codon specific // translation release factor activity"	prfA		WP_011863637.1	WP_011863637.1		PF03462
Protoporphyrin IX Mg-chelatase subunit ChlI				chlI		WP_011863114.1	WP_011863114.1		PF01078
hypothetical protein				P9301_RS15185		WP_011863233.1	WP_011863233.1		
16S rRNA (cytosine(967)-C(5))-methyltransferase	"methylation // rRNA methylation // rRNA processing // regulation of transcription, DNA-templated"	cytoplasm	transferase activity // rRNA methyltransferase activity // methyltransferase activity // RNA binding	P9301_RS11265		WP_011862450.1	WP_011862450.1		PF01029
type I methionyl aminopeptidase	protein initiator methionine removal // proteolysis		metalloaminopeptidase activity // metal ion binding // hydrolase activity // metalloexopeptidase activity // peptidase activity // aminopeptidase activity	map		WP_011862497.1	WP_011862497.1		PF00557
30S ribosomal protein S19	translation	small ribosomal subunit // ribosome	rRNA binding // structural constituent of ribosome // RNA binding	rpsS		WP_011819167.1	WP_011819167.1		PF00203
2Fe-2S iron-sulfur cluster binding domain-containing protein	electron transport chain		iron-sulfur cluster binding // electron transfer activity	P9301_RS13700		WP_011862932.1	WP_011862932.1		PF00111
indole-3-glycerol phosphate synthase TrpC	aromatic amino acid family biosynthetic process // cellular amino acid biosynthetic process // tryptophan metabolic process // tryptophan biosynthetic process		carboxy-lyase activity // lyase activity // indole-3-glycerol-phosphate synthase activity // catalytic activity	trpC	superpathway of L-tryptophan biosynthesis // L-tryptophan biosynthesis	WP_011863412.1	WP_011863412.1		PF00218
hypothetical protein				P9301_RS16410		WP_011863464.1	WP_011863464.1		
aspartate--tRNA ligase	aspartyl-tRNA aminoacylation // tRNA aminoacylation for protein translation // translation	cytoplasm	aspartate-tRNA(Asn) ligase activity // ligase activity // ATP binding // aspartate-tRNA ligase activity // aminoacyl-tRNA ligase activity // nucleic acid binding // nucleotide binding	aspS	tRNA charging	WP_011863784.1	WP_011863784.1		PF01336
2-hydroxyacid dehydrogenase			"NAD binding // glyoxylate reductase (NAD+) activity // oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor // oxidoreductase activity // gluconate 2-dehydrogenase activity"	P9301_RS15045		WP_011863202.1	WP_011863202.1		PF00389
AAA family ATPase	DNA duplex unwinding // DNA recombination // DNA repair // DNA replication		four-way junction helicase activity // DNA binding	P9301_RS09530		WP_011862117.1	WP_011862117.1		PF05496
DUF1997 domain-containing protein				P9301_RS17085		WP_011863614.1	WP_011863614.1		PF09366
FAD-dependent oxidoreductase	cellular oxidant detoxification		oxidoreductase activity // thioredoxin-disulfide reductase activity	P9301_RS10220		WP_011862254.1	WP_011862254.1		PF07992
"1,4-dihydroxy-2-naphthoyl-CoA hydrolase"	phylloquinone biosynthetic process		thiolester hydrolase activity // hydrolase activity	P9301_RS10030	"2-carboxy-1,4-naphthoquinol biosynthesis"	WP_011862218.1	WP_011862218.1		PF13279
DNA polymerase III subunit gamma/tau	DNA biosynthetic process // DNA replication	DNA polymerase III complex	nucleotidyltransferase activity // transferase activity // ATP binding // DNA-directed DNA polymerase activity // DNA binding // nucleotide binding	dnaX		WP_011863754.1	WP_011863754.1		PF13177
deoxyribodipyrimidine photo-lyase	protein-chromophore linkage		lyase activity // deoxyribodipyrimidine photo-lyase activity	P9301_RS10995		WP_011862398.1	WP_011862398.1		PF00875
hypothetical protein				P9301_RS14160		WP_011863023.1	WP_011863023.1		
ribonuclease P protein component	"RNA phosphodiester bond hydrolysis, endonucleolytic // RNA phosphodiester bond hydrolysis // nucleic acid phosphodiester bond hydrolysis // tRNA processing // tRNA 5'-leader removal"		hydrolase activity // ribonuclease P activity // endonuclease activity // nuclease activity // RNA binding // tRNA binding	rnpA	tRNA processing	WP_011863317.1	WP_011863317.1		PF00825
phycocyanobilin:ferredoxin oxidoreductase	phytochromobilin biosynthetic process		"cobalt ion binding // phycocyanobilin:ferredoxin oxidoreductase activity // oxidoreductase activity, acting on the CH-CH group of donors, iron-sulfur protein as acceptor // oxidoreductase activity"	pcyA	phycocyanobilin biosynthesis	WP_011862786.1	WP_011862786.1		PF05996
DUF1651 domain-containing protein				P9301_RS12725		WP_011862732.1	WP_011862732.1		PF07864
MSMEG_0569 family flavin-dependent oxidoreductase				P9301_RS15270		WP_011863250.1	WP_011863250.1		PF13738
Possible BdrC3				P9301_RS13300		WP_011862849.1	WP_011862849.1		
Zn-dependent protease	proteolysis	integral component of membrane // membrane // plasma membrane	metal ion binding // hydrolase activity // metallopeptidase activity // peptidase activity // metalloendopeptidase activity	P9301_RS11840		WP_011862557.1	WP_011862557.1		PF02163
hypothetical protein		integral component of membrane // membrane		P9301_RS14140		WP_011863019.1	WP_011863019.1		
inositol phosphatase	inositol phosphate dephosphorylation			P9301_RS09625	<i>myo</i>-inositol biosynthesis	WP_011862139.1	WP_011862139.1		PF00459
50S ribosomal protein L9	translation	ribosome	rRNA binding // structural constituent of ribosome // RNA binding	rplI		WP_011863768.1	WP_011863768.1		PF01281
Hsp70 family protein			ATP binding // nucleotide binding	P9301_RS16730		WP_011863545.1	WP_011863545.1		PF06723
glutamate racemase	cell wall organization // peptidoglycan biosynthetic process // regulation of cell shape // nitrogen compound metabolic process		"racemase activity, acting on amino acids and derivatives // racemase and epimerase activity, acting on amino acids and derivatives // isomerase activity // glutamate racemase activity"	murI	peptidoglycan biosynthesis I (<I>meso</I>-diaminopimelate containing) // UDP-<i>N</i>-acetylmuramoyl-pentapeptide biosynthesis I (<i>meso</i>-diaminopimelate containing)	WP_011862633.1	WP_011862633.1		PF01177
adenosylmethionine decarboxylase	spermidine biosynthetic process // polyamine biosynthetic process // S-adenosylmethioninamine biosynthetic process		carboxy-lyase activity // lyase activity // adenosylmethionine decarboxylase activity	P9301_RS17435	spermidine biosynthesis I	WP_011863674.1	WP_011863674.1		PF02675
4-hydroxy-3-methylbut-2-enyl diphosphate reductase	"dimethylallyl diphosphate biosynthetic process // isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway // terpenoid biosynthetic process // isoprenoid biosynthetic process"		"4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase activity // 4 iron, 4 sulfur cluster binding // iron-sulfur cluster binding // metal ion binding // oxidoreductase activity"	ispH	methylerythritol phosphate pathway II	WP_011862305.1	WP_011862305.1		PF02401
LPS export ABC transporter periplasmic protein LptC	lipopolysaccharide transport	integral component of plasma membrane	lipopolysaccharide transmembrane transporter activity	lptC		WP_041484760.1	WP_041484760.1		PF06835
penicillin-binding protein		integral component of membrane // membrane	transferase activity // penicillin binding	mrcB		WP_011862451.1	WP_011862451.1		PF00912
hypothetical protein				P9301_RS17510		WP_011863688.1	WP_011863688.1		
type II secretion system protein				P9301_RS12535		WP_041484675.1	WP_041484675.1		
serine protease	proteolysis		serine-type endopeptidase activity	P9301_RS15090		WP_011863211.1	WP_011863211.1		PF13365
2Fe-2S iron-sulfur cluster binding domain-containing protein	electron transport chain		"2 iron, 2 sulfur cluster binding // iron-sulfur cluster binding // electron transfer activity"	P9301_RS16415		WP_011376994.1	WP_011376994.1		PF00111
SAM-dependent methyltransferase				P9301_RS12685		WP_011862722.1	WP_011862722.1		PF02636
undecaprenyl-diphosphate phosphatase	cell wall organization // response to antibiotic // dephosphorylation // peptidoglycan biosynthetic process // regulation of cell shape	integral component of membrane // membrane // plasma membrane	undecaprenyl-diphosphatase activity // hydrolase activity	P9301_RS13405	"di-<i>trans</i>,poly-<i>cis</i>-undecaprenyl phosphate biosynthesis"	WP_011862874.1	WP_011862874.1		PF02673
B<sub>12</sub>-dependent ribonucleotide reductase				nrdJ	pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis III	WP_011862702.1	WP_011862702.1		
prephenate dehydratase	L-phenylalanine biosynthetic process // aromatic amino acid family biosynthetic process // cellular amino acid biosynthetic process		lyase activity // prephenate dehydratase activity // chorismate mutase activity	pheA		WP_011863615.1	WP_011863615.1		PF00800
Signal recognition particle GTPase				ffh		WP_011863401.1	WP_011863401.1		PF02881
hypothetical protein				P9301_RS13815		WP_011862953.1	WP_011862953.1		
ATP-dependent zinc metalloprotease FtsH3	cell division // protein catabolic process // proteolysis	thylakoid membrane // integral component of membrane // membrane // thylakoid	metal ion binding // ATPase // hydrolase activity // zinc ion binding // metallopeptidase activity // peptidase activity // ATP binding // metalloendopeptidase activity // nucleotide binding	ftsH3		WP_011863381.1	WP_011863381.1		PF06480
alpha/beta fold hydrolase		integral component of membrane // membrane	hydrolase activity	P9301_RS15430		WP_011863282.1	WP_011863282.1		PF12697
NADH-plastoquinone oxidoreductase chain 5-like protein		integral component of membrane // membrane		P9301_RS10885		WP_011862369.1	WP_011862369.1		
glycosyltransferase				P9301_RS15785		WP_080513430.1	WP_080513430.1		PF00535
Photosystem I iron-sulfur center subunit VII PsaC	photosynthesis // photosynthetic electron transport in photosystem I	thylakoid membrane // membrane // thylakoid // photosystem I	"4 iron, 4 sulfur cluster binding // iron-sulfur cluster binding // metal ion binding // oxidoreductase activity // electron transfer activity"	psaC		WP_007099573.1	WP_007099573.1		PF12838
ChlL	"light-independent chlorophyll biosynthetic process // photosynthesis, dark reaction // chlorophyll biosynthetic process // photosynthesis"		"4 iron, 4 sulfur cluster binding // iron-sulfur cluster binding // metal ion binding // oxidoreductase activity, acting on iron-sulfur proteins as donors // oxidoreductase activity, acting on the CH-CH group of donors, iron-sulfur protein as acceptor // oxidoreductase activity // ATP binding // nucleotide binding"	chlL		WP_011862562.1	WP_011862562.1		PF00142
Spx/MgsR family RNA polymerase-binding regulatory protein			oxidoreductase activity // arsenate reductase (glutaredoxin) activity	P9301_RS11715		WP_011862532.1	WP_011862532.1		PF03960
RNA methyltransferase	methylation		transferase activity // methyltransferase activity // RNA binding // nucleic acid binding	P9301_RS09400		WP_011862090.1	WP_011862090.1		PF02926
5-formyltetrahydrofolate cyclo-ligase			metal ion binding // 5-formyltetrahydrofolate cyclo-ligase activity // ligase activity // ATP binding // nucleotide binding	P9301_RS14600	folate transformations III (<i>E. coli</i>)	WP_011863112.1	WP_011863112.1		PF01812
NAD(P)H-quinone oxidoreductase chain 3	"photosynthesis, light reaction"	thylakoid membrane // integral component of membrane // membrane // thylakoid	"quinone binding // oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor // oxidoreductase activity, acting on NAD(P)H // NADH dehydrogenase (ubiquinone) activity"	ndhC		WP_011862334.1	WP_011862334.1		PF00507
hypothetical protein		integral component of membrane // membrane		P9301_RS13550		WP_011862902.1	WP_011862902.1		
"15,16-dihydrobiliverdin:ferredoxin oxidoreductase"	phytochromobilin biosynthetic process		"cobalt ion binding // 15,16-dihydrobiliverdin:ferredoxin oxidoreductase activity // oxidoreductase activity, acting on the CH-CH group of donors, iron-sulfur protein as acceptor // oxidoreductase activity"	pebA	phycoerythrobilin biosynthesis I	WP_011863696.1	WP_011863696.1		PF05996
ATP-dependent zinc metalloprotease FtsH2	cell division // protein catabolic process // proteolysis	thylakoid membrane // integral component of membrane // membrane // thylakoid	metal ion binding // ATPase // hydrolase activity // zinc ion binding // metallopeptidase activity // peptidase activity // ATP binding // metalloendopeptidase activity // nucleotide binding	ftsH2		WP_011862269.1	WP_011862269.1		PF06480
